political,54,"07英语, 08英语, 09英语, 10英一, 10英二, 12英一, 12英二, 13英二, 14英一, 14英二, 15英一, 16英一, 16英二, 18英一, 18英二, 20英一, 21英一, 21英二, 22英二"
value,53,"05英语, 07英语, 08英语, 09英语, 10英一, 11英一, 13英一, 13英二, 14英二, 15英一, 15英二, 16英一, 17英二, 18英一, 18英二, 19英一, 19英二, 20英二, 21英一, 21英二, 22英一, 22英二, 23英一, 23英二"
line,53,"05英语, 06英语, 07英语, 08英语, 09英语, 10英一, 10英二, 11英一, 12英一, 12英二, 13英一, 14英一, 14英二, 15英一, 15英二, 16英一, 16英二, 17英一, 17英二, 18英一, 18英二, 19英一, 19英二, 21英一, 22英一, 22英二, 23英一, 23英二"
percent,53,"05英语, 06英语, 08英语, 09英语, 10英一, 10英二, 11英二, 13英二, 15英二, 16英二, 17英一, 17英二, 18英一, 18英二, 19英二, 20英一, 20英二, 21英一, 22英二, 23英一, 23英二"
did,53,"06英语, 07英语, 08英语, 10英一, 11英一, 11英二, 12英一, 12英二, 13英一, 13英二, 14英一, 14英二, 15英二, 16英一, 17英一, 17英二, 18英二, 19英二, 20英一, 20英二, 21英一, 22英一, 23英一, 23英二"
young,53,"06英语, 09英语, 10英一, 10英二, 11英二, 12英一, 12英二, 13英一, 14英二, 16英一, 16英二, 17英一, 17英二, 18英一, 19英二, 21英一, 22英一, 22英二, 23英二"
parents,53,"07英语, 08英语, 11英一, 11英二, 12英二, 16英一, 16英二, 17英二, 18英二, 19英一, 19英二, 20英二, 22英一, 23英二"
attention,52,"05英语, 07英语, 08英语, 09英语, 10英一, 11英一, 12英一, 13英一, 13英二, 14英一, 14英二, 15英一, 15英二, 17英一, 17英二, 18英一, 18英二, 19英一, 20英一, 20英二, 21英一, 21英二, 22英一, 22英二, 23英一"
see,52,"05英语, 06英语, 07英语, 08英语, 10英二, 11英一, 12英一, 12英二, 13英一, 13英二, 15英一, 15英二, 16英一, 16英二, 17英一, 18英二, 19英一, 19英二, 20英一, 20英二, 21英一, 21英二, 23英一, 23英二"
scientific,52,"05英语, 08英语, 09英语, 10英二, 12英一, 14英一, 14英二, 15英一, 18英二, 19英一, 20英一, 22英一, 23英一, 23英二"
past,52,"05英语, 06英语, 07英语, 08英语, 10英一, 10英二, 11英一, 12英一, 12英二, 13英一, 13英二, 14英二, 15英二, 17英一, 17英二, 18英一, 18英二, 19英一, 20英一, 20英二, 21英一, 21英二, 22英一, 22英二, 23英二"
under,52,"05英语, 07英语, 08英语, 09英语, 10英一, 11英二, 12英一, 12英二, 15英二, 16英一, 16英二, 17英一, 17英二, 18英一, 19英一, 19英二, 20英一, 20英二, 21英一, 22英二, 23英一, 23英二"
longer,52,"05英语, 06英语, 07英语, 08英语, 09英语, 10英二, 11英一, 11英二, 12英二, 13英一, 13英二, 14英一, 15英二, 16英一, 16英二, 17英一, 19英二, 20英一, 21英二, 22英一, 22英二"
something,52,"05英语, 06英语, 10英一, 11英一, 11英二, 12英二, 13英二, 14英一, 14英二, 15英一, 15英二, 16英一, 16英二, 17英二, 18英一, 18英二, 20英二, 21英一, 21英二, 22英一, 22英二, 23英一, 23英二"
set,52,"07英语, 08英语, 10英二, 11英一, 11英二, 12英一, 13英一, 13英二, 14英一, 14英二, 15英一, 16英一, 16英二, 17英二, 18英一, 18英二, 19英二, 20英一, 20英二, 21英一, 21英二, 22英一, 22英二, 23英二"
enough,51,"05英语, 06英语, 07英语, 09英语, 10英一, 10英二, 11英一, 11英二, 12英一, 13英一, 13英二, 14英一, 14英二, 15英一, 15英二, 16英一, 16英二, 17英一, 17英二, 18英一, 18英二, 19英二, 21英一, 21英二, 22英一, 22英二, 23英一"
decision,51,"05英语, 06英语, 07英语, 08英语, 10英一, 10英二, 11英一, 12英二, 13英一, 15英一, 15英二, 16英一, 16英二, 17英一, 19英一, 19英二, 20英一, 20英二, 21英一, 21英二, 22英一, 22英二, 23英一, 23英二"
real,51,"05英语, 06英语, 08英语, 09英语, 10英一, 12英一, 12英二, 13英一, 13英二, 14英二, 15英一, 15英二, 17英一, 18英一, 19英二, 20英二, 22英二, 23英一, 23英二"
list,51,"05英语, 06英语, 07英语, 08英语, 09英语, 10英一, 10英二, 11英一, 12英一, 13英一, 13英二, 14英一, 15英一, 15英二, 16英一, 16英二, 17英一, 18英一, 18英二, 19英一, 20英一, 20英二, 21英一, 21英二, 22英一, 22英二, 23英一"
higher,51,"05英语, 06英语, 07英语, 08英语, 09英语, 10英一, 11英一, 12英一, 12英二, 13英一, 14英一, 14英二, 15英二, 16英一, 17英一, 18英一, 18英二, 19英一, 21英一, 21英二, 22英一, 22英二, 23英一, 23英二"
